name,type,address,postcode,state,lat,lon,precision
Point Cook P-9 College,hub,,3030,VIC,-37.91624,144.64209,postcode_centroid
Truganina South Primary School,hub,,3029,VIC,-37.837165,144.705831,postcode_centroid
Wyndham Park Primary School,hub,,3030,VIC,-37.91624,144.64209,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,810,NT,-12.381806,130.866242,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,811,NT,-12.381806,130.866242,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,812,NT,-12.39124885,130.89047,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,820,NT,-12.428017,130.873315,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,830,NT,-12.52139649,130.9580765,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,832,NT,-12.49684676,130.9936551,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2000,NSW,-33.86051951,151.2015802,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2010,NSW,-33.884119,151.212262,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2011,NSW,-33.873599,151.221626,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2016,NSW,-33.894912,151.206211,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2021,NSW,-33.895705,151.227236,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2022,NSW,-33.896401,151.245049,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2023,NSW,-33.884685,151.25591,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2024,NSW,-33.904414,151.259392,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2026,NSW,-33.891041,151.268968,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2030,NSW,-33.858378,151.275977,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2031,NSW,-33.914832,151.239167,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2033,NSW,-33.91139,151.218435,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2034,NSW,-33.929096,151.252171,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2035,NSW,-33.945635,151.241292,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2036,NSW,-33.969624,151.237844,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2040,NSW,-33.878774,151.156819,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2046,NSW,-33.866044,151.133865,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2048,NSW,-33.89418,151.16564,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2050,NSW,-33.89037,151.17598,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2060,NSW,-33.839863,151.204557,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2065,NSW,-33.828361,151.192212,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2066,NSW,-33.818641,151.160912,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2067,NSW,-33.798378,151.17711,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2070,NSW,-33.78042,151.162007,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2071,NSW,-33.75536381,151.1814551,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2074,NSW,-33.735222,151.123716,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2077,NSW,-33.691922,151.097508,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2079,NSW,-33.666637,151.112681,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2085,NSW,-33.728782,151.211719,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2088,NSW,-33.830687,151.243351,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2089,NSW,-33.84149573,151.2228263,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2090,NSW,-33.828949,151.223094,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2092,NSW,-33.796636,151.241813,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2093,NSW,-33.79315,151.258069,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2094,NSW,-33.795227,151.273242,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2095,NSW,-33.815482,151.294675,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2096,NSW,-33.776781,151.28494,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2100,NSW,-33.766409,151.257781,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2102,NSW,-33.689941,151.290953,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2110,NSW,-33.836102,151.149126,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2111,NSW,-33.829953,151.124488,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2112,NSW,-33.81658,151.108447,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2113,NSW,-33.79419,151.130233,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2119,NSW,-33.755499,151.064176,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2121,NSW,-33.774145,151.079919,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2122,NSW,-33.791357,151.092072,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2125,NSW,-33.752645,151.031807,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2131,NSW,-33.887602,151.124008,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2132,NSW,-33.882419,151.113385,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2134,NSW,-33.880049,151.101757,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2141,NSW,-33.872483,151.044768,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2142,NSW,-33.832747,151.015196,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2144,NSW,-33.851868,151.026756,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2145,NSW,-33.79382308,150.9751544,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2146,NSW,-33.789374,150.959508,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2147,NSW,-33.766075,150.935836,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2148,NSW,-33.783751,150.900547,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2150,NSW,-33.814463,151.006506,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2156,NSW,-33.656984,150.974528,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2162,NSW,-33.88349,151.004128,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2166,NSW,-33.892738,150.92937,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2170,NSW,-33.928392,150.921448,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2192,NSW,-33.921018,151.089663,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2193,NSW,-33.910308,151.12086,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2194,NSW,-33.917601,151.101777,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2203,NSW,-33.90441,151.138999,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2204,NSW,-33.912288,151.155539,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2209,NSW,-33.94913,151.075304,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2213,NSW,-33.964102,150.997836,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2229,NSW,-34.05494,151.120091,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2232,NSW,-34.061753,151.064329,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2250,NSW,-33.325373,151.189243,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2251,NSW,-33.482209,151.401999,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2257,NSW,-33.520358,151.374403,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2259,NSW,-33.208801,151.377213,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2260,NSW,-33.42537,151.436939,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2261,NSW,-33.315827,151.519708,postcode_centroid
