lga_name,count
Yarra Ranges,2
Yarra,5
Woollahra,1
Wodonga,1
Wingecarribee,1
Willoughby,2
Whittlesea,6
Whitehorse,5
West Tamar,1
Waverley,4
Wanneroo,1
Victoria Park,3
Uralla,1
Unley,1
Unincorporated NT,1
Unincorporated ACT,14
Tweed,3
Tenterfield,1
Sydney,5
Swan,1
Sutherland,2
Surf Coast,3
Sunshine Coast,6
Stonnington,4
Stirling,2
Southern Downs,1
South Perth,2
South Gippsland,1
Sorell,1
Snowy Valleys,2
Snowy Monaro,1
Shoalhaven,3
Scenic Rim,2
Ryde,3
Rockingham,2
Redland,5
Randwick,3
Port Phillip,6
Perth,1
Parramatta,7
Palmerston,1
Onkaparinga,4
Northern Midlands,1
Northern Beaches,10
North Sydney,3
Noosa,1
Nillumbik,3
Newcastle,3
Nedlands,1
Nannup,1
Mundaring,1
Moyne,2
Mount Alexander,4
Mosman Park,1
Mosman,1
Mornington Peninsula,4
Moreton Bay,6
Moreland,8
Moorabool,2
Moonee Valley,1
Monash,5
Mitchell,2
Mitcham,3
Melville,1
Melton,1
Melbourne,6
Meander Valley,2
Maroondah,5
Maribyrnong,3
Manningham,6
Mandurah,1
Maitland,1
Macedon Ranges,2
Loddon,2
Lithgow,1
Litchfield,1
Lismore,2
Launceston,1
Lake Macquarie,4
Kyogle,1
Ku-ring-gai,2
Knox,1
Kingston (Vic.),7
Kingborough,5
Kalamunda,1
Inner West,7
Huon Valley,1
Hunters Hill,2
Hume,1
Hornsby,4
Hobsons Bay,2
Hobart,4
Hilltops,1
Hepburn,1
Hawkesbury,1
Gympie,1
Greater Geelong,1
Greater Dandenong,2
Greater Bendigo,2
Gosnells,1
Gold Coast,9
Glenorchy,2
Glen Eira,8
Fremantle,2
Frankston,1
Fairfield,2
East Fremantle,1
Dubbo,1
Derwent Valley,3
Darwin,3
Darebin,4
Cumberland,4
Corangamite,1
Coorong,2
Colac Otway,1
Cockburn,1
Clarence,3
Chapman Valley,1
Cessnock,2
Central Coast (NSW),6
Casey,1
Canterbury-Bankstown,5
Canning,1
Canada Bay,1
Campbelltown (NSW),1
Cambridge,2
Byron,1
Burwood,1
Burnside,1
Brisbane,13
Brimbank,1
Break O'Day,1
Boroondara,6
Blue Mountains,8
Blacktown,4
Belmont,1
Bayswater,2
Bayside (Vic.),5
Bayside (NSW),2
Baw Baw,1
Bass Coast,4
Banyule,4
Ballina,4
Augusta Margaret River,1
Alexandrina,1
Albury,1
Adelaide Hills,3
Adelaide,1
