Bert Oldfield Public School,hub,,2146,NSW,-33.789374,150.959508,postcode_centroid
Kings Langley School,hub,,2147,NSW,-33.766075,150.935836,postcode_centroid
Banksia Road Public School,hub,,2190,NSW,-33.89194485,151.0477059,postcode_centroid
Bankstown Public School,hub,,2200,NSW,-33.926559,151.014937,postcode_centroid
Bass Hill Public School,hub,,2322,NSW,-32.819819,151.65415,postcode_centroid
Chester Hill North Public School,hub,,2162,NSW,-33.88349,151.004128,postcode_centroid
Chester Hill Public School Hub,hub,,2162,NSW,-33.88349,151.004128,postcode_centroid
Villawood East Public School,hub,,2163,NSW,-33.887203,150.979458,postcode_centroid
Narranga Public School,hub,,2450,NSW,-30.097726,152.658268,postcode_centroid
Tyalla Public School,hub,,2450,NSW,-30.097726,152.658268,postcode_centroid
William Bayldon Public School,hub,,2452,NSW,-30.357168,153.08188,postcode_centroid
Granville Public School,hub,,1830,NSW,-33.859289,150.948582,postcode_centroid
Hilltop Road Public School,hub,,2160,NSW,-33.835883,150.976594,postcode_centroid
Westemead Public School,hub,,2145,NSW,-33.79382308,150.9751544,postcode_centroid
Fairfiled West Public School,hub,,2165,NSW,-33.872435,150.947496,postcode_centroid
Prairievale Public School,hub,,2176,NSW,-33.872014,150.88526,postcode_centroid
Smithfield Public School,hub,,2164,NSW,-33.844153,150.875028,postcode_centroid
Austral Public School,hub,,2179,NSW,-33.933109,150.812031,postcode_centroid
Heckenberg Public School,hub,,2168,NSW,-33.915939,150.875345,postcode_centroid
Hoxton Park Public School,hub,,2171,NSW,-33.93771581,150.8487366,postcode_centroid
Parramatta West Public School,hub,,2150,NSW,-33.814463,151.006506,postcode_centroid
Rydelmere Public School,hub,,2116,NSW,-33.814368,151.036941,postcode_centroid
Acacia Ridge State School,hub,,4110,QLD,-27.612178,153.009526,postcode_centroid
Inala State School,hub,,4077,QLD,-27.605551,152.967822,postcode_centroid
Nundah State School,hub,,4012,QLD,-27.399335,153.05355,postcode_centroid
St Brendan's Primary School Moorooka,hub,,4105,QLD,-27.534438,153.018893,postcode_centroid
Fernbrooke State School,hub,,4301,QLD,-27.629394,152.858086,postcode_centroid
Kruger State School,hub,,4300,QLD,-27.682273,152.884999,postcode_centroid
Riverview State School,hub,,4303,QLD,-27.604588,152.840187,postcode_centroid
Springfield Lakes State School,hub,,4300,QLD,-27.682273,152.884999,postcode_centroid
Staines Memorial College,hub,,4301,QLD,-27.629394,152.858086,postcode_centroid
Marsden State School,hub,,4114,QLD,-27.652812,153.110764,postcode_centroid
