lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
10050,Albury,NSW,Y,Established,,2,12.5,8.4,56093,
10180,Armidale,NSW,,,,0,14.9,9.4,29124,
10250,Ballina,NSW,,,,38,12.7,4.7,46296,
10300,Balranald,NSW,,,,0,8.2,9.4,2208,
10470,Bathurst,NSW,,,,0,10,5.4,43567,
10500,Bayside (NSW),NSW,,,,2,48.1,51.2,175184,
10550,Bega Valley,NSW,,,,0,12.2,3.3,35942,
10600,Bellingen,NSW,,,,1,12.6,3.6,13253,
10650,Berrigan,NSW,,,Y,0,8.1,3,8665,
10750,Blacktown,NSW,Y,,,15,44.4,46,396776,
10800,Bland,NSW,,,,0,5.6,2.4,5547,
10850,Blayney,NSW,,,,0,6.2,1.5,7497,
10900,Blue Mountains,NSW,,,,36,17.4,6.3,78121,
10950,Bogan,NSW,,,,0,5.8,3.4,2467,
11150,Bourke,NSW,,,,0,4.6,3.8,2340,
11200,Brewarrina,NSW,,,,0,4.7,4,1356,
11250,Broken Hill,NSW,,,,0,5.1,3.3,17588,
11300,Burwood,NSW,,,,1,57.7,62.7,40217,
11350,Byron,NSW,,,,15,22,9.5,36116,
11400,Cabonne,NSW,,,,0,6,2.1,13766,
11450,Camden,NSW,,,,0,22.9,22.3,119325,
11500,Campbelltown (NSW),NSW,Y,,,3,35.1,35.6,176519,
11520,Canada Bay,NSW,Y,,,5,40.1,39.3,89177,
11570,Canterbury-Bankstown,NSW,Y,,,11,44.6,58.8,371006,
11600,Carrathool,NSW,,,,0,14.1,9.6,2866,
11650,Central Coast (NSW),NSW,Y,,,41,16.1,7,346596,
11700,Central Darling,NSW,,,,0,3.9,1.9,1725,
11720,Cessnock,NSW,,,,6,7.2,2.7,63632,
11730,Clarence Valley,NSW,,,,3,8.2,2.7,54115,
11750,Cobar,NSW,,,,0,7.3,4.3,4059,
11800,Coffs Harbour,NSW,,,,2,15.6,9,78759,
12000,Coolamon,NSW,,,,0,4.5,1.2,4385,
12150,Coonamble,NSW,,,,0,3.4,2.2,3732,
12160,Cootamundra-Gundagai,NSW,,,,0,6.8,3,11403,
12350,Cowra,NSW,,,,0,7.1,3.6,12724,
12380,Cumberland,NSW,Y,,,9,53.2,64.9,235439,
12390,Dubbo,NSW,Y,,,23,9.6,7.4,54922,
12700,Dungog,NSW,,,,1,5.4,0.9,9541,
12730,Edward River,NSW,,,,0,5.8,2.8,8456,
12750,Eurobodalla,NSW,,,,4,13.8,3.9,40593,
12850,Fairfield,NSW,,,,2,56,69.5,208475,
12870,Federation,NSW,,,,0,7.3,2.2,12899,
12900,Forbes,NSW,,,,0,4.3,2.1,9319,
12930,Georges River,NSW,Y,,,0,46,53,152274,
12950,Gilgandra,NSW,,,,0,3.3,1.6,4295,
13010,Glen Innes Severn,NSW,,,,0,7.5,2.3,8931,
13310,Goulburn Mulwaree,NSW,,,,0,11,6.1,32053,
13340,Greater Hume,NSW,Y,,Y,0,6.1,2.1,11157,
13450,Griffith,NSW,,,Y,0,22.5,23,27086,
13550,Gunnedah,NSW,,,,0,5.3,3.1,12929,
13660,Gwydir,NSW,,,,0,4.2,1,4910,
13800,Hawkesbury,NSW,,,,14,13.3,7,67207,
13850,Hay,NSW,,,,0,6.8,4,2882,
13910,Hilltops,NSW,,,,12,7.6,5.2,19254,
14000,Hornsby,NSW,Y,,,17,40.6,35.5,151811,
14100,Hunters Hill,NSW,,,,8,28.3,19.7,13559,
14170,Inner West,NSW,Y,,,13,33.4,25.7,182818,
14220,Inverell,NSW,,,,0,7.1,3.7,17853,
14300,Junee,NSW,,,,0,8.5,4.5,6415,
14350,Kempsey,NSW,,,,0,7.8,2.9,30688,
14400,Kiama,NSW,,,,0,14.6,4.4,23074,
14500,Ku-ring-gai,NSW,Y,,,2,42.6,33.3,124076,
14550,Kyogle,NSW,,,,1,10,3.2,9359,
14600,Lachlan,NSW,,,,0,4.8,3.5,6094,
14650,Lake Macquarie,NSW,Y,,,4,10.8,5.2,213845,
14700,Lane Cove,NSW,,,,0,38.7,28.2,39438,
14750,Leeton,NSW,Y,,Y,0,10.8,9.5,11452,
14850,Lismore,NSW,,,,2,10.4,5.2,44334,
14870,Lithgow,NSW,,,,1,10.1,4.2,20842,
14900,Liverpool,NSW,Y,,,0,43.2,53.5,233446,
14920,Liverpool Plains,NSW,,,,0,4.8,2.7,7551,
14950,Lockhart,NSW,,,,0,4.7,1.7,3319,
15050,Maitland,NSW,,,,1,9.2,5.4,90226,
15240,Mid-Coast,NSW,,,,0,10.1,3.1,96579,
15270,Mid-Western,NSW,,,,0,8.1,3.2,25713,
15300,Moree Plains,NSW,,,,0,5.5,3.6,12751,
