lga_name,lga_accreditation,overseas_born_pct,language_other_than_english_pct
Albury,Established,12.5,8.4
Armidale Regional,,14.9,9.4
Ballina,,12.7,4.7
Balranald,,8.2,9.4
Bathurst Regional,,10,5.4
Bayside (NSW),,48.1,51.2
Bega Valley,,12.2,3.3
Bellingen,,12.6,3.6
Berrigan,,8.1,3
Blacktown,,44.4,46
Bland,,5.6,2.4
Blayney,,6.2,1.5
Blue Mountains,,17.4,6.3
Bogan,,5.8,3.4
Bourke,,4.6,3.8
Brewarrina,,4.7,4
Broken Hill,,5.1,3.3
Burwood,,57.7,62.7
Byron,,22,9.5
Cabonne,,6,2.1
Camden,,22.9,22.3
Campbelltown (NSW),,35.1,35.6
Canada Bay,,40.1,39.3
Canterbury-Bankstown,,44.6,58.8
Carrathool,,14.1,9.6
Central Coast (NSW),,16.1,7
Central Darling,,3.9,1.9
Cessnock,,7.2,2.7
Clarence Valley,,8.2,2.7
Cobar,,7.3,4.3
Coffs Harbour,,15.6,9
Coolamon,,4.5,1.2
Coonamble,,3.4,2.2
Cootamundra-Gundagai Regional,,6.8,3
Cowra,,7.1,3.6
Cumberland,,53.2,64.9
Dubbo Regional,,9.6,7.4
Dungog,,5.4,0.9
Edward River,,5.8,2.8
Eurobodalla,,13.8,3.9
Fairfield,,56,69.5
Federation,,7.3,2.2
Forbes,,4.3,2.1
Georges River,,46,53
Gilgandra,,3.3,1.6
Glen Innes Severn,,7.5,2.3
Goulburn Mulwaree,,11,6.1
Greater Hume Shire,,6.1,2.1
Griffith,,22.5,23
Gunnedah,,5.3,3.1
Gwydir,,4.2,1
Hawkesbury,,13.3,7
Hay,,6.8,4
Hilltops,,7.6,5.2
Hornsby,,40.6,35.5
Hunters Hill,,28.3,19.7
Inner West,,33.4,25.7
Inverell,,7.1,3.7
Junee,,8.5,4.5
Kempsey,,7.8,2.9
Kiama,,14.6,4.4
Ku-ring-gai,,42.6,33.3
Kyogle,,10,3.2
Lachlan,,4.8,3.5
Lake Macquarie,,10.8,5.2
Lane Cove,,38.7,28.2
Leeton,,10.8,9.5
Lismore,,10.4,5.2
Lithgow,,10.1,4.2
Liverpool,,43.2,53.5
Liverpool Plains,,4.8,2.7
Lockhart,,4.7,1.7
Maitland,,9.2,5.4
Mid-Coast,,10.1,3.1
Mid-Western Regional,,8.1,3.2
Moree Plains,,5.5,3.6
Mosman,,35.3,16.4
Murray River,,7.4,3.4
Murrumbidgee,,6.5,4.1
Muswellbrook,,8.5,3.9
Nambucca Valley,,10,3.3
Narrabri,,4.4,2.3
Narrandera,,5.8,3.4
Narromine,,4,1.9
Newcastle,,14.8,10.4
North Sydney,,39.9,23.7
Northern Beaches,,30.2,15.5
Oberon,,10.3,4.6
Orange,,10.6,7.1
Parkes,,5.6,3.4
Parramatta,,53.3,56.1
Penrith,,23.3,19.5
Port Macquarie-Hastings,,12.3,3.9
Port Stephens,,12,3.9
Queanbeyan-Palerang Regional,,18.4,13.3
Randwick,,39.6,27.7
Richmond Valley,,6,2.3
Ryde,,49.1,49.3
Shellharbour,,16.1,9.7
Shoalhaven,,13.5,4.8
Singleton,,8.4,3.3
Snowy Monaro Regional,,13.7,6.1
Snowy Valleys,,9.1,4.3
Strathfield,,58.9,65
Sutherland Shire,,19.3,13.7
Sydney,,48.6,34.7
Tamworth Regional,,8.4,5.7
Temora,,5.3,2.5
Tenterfield,,8.7,2.8
The Hills Shire,,40.4,38.6
Tweed,,15.4,4.9
Upper Hunter Shire,,9.2,4
Upper Lachlan Shire,,7.7,2.4
Uralla,,7.2,2.5
Wagga Wagga,,11.4,8.8
Walcha,,5.6,1.9
Walgett,,8.4,5.3
Warren,,5.4,3.1
Warrumbungle Shire,,5.9,2.2
Waverley,,41.7,20.8
Weddin,,5.5,1.4
Wentworth,,6.2,3.6
Willoughby,,46.5,40.9
Wingecarribee,,18,6.9
Wollondilly,,11.1,5.6
Wollongong,,21,15.7
Woollahra,,34.4,15.4
Yass Valley,,10.9,4
Unincorporated NSW,,10.5,4.1
No usual address (NSW),,16.8,9.9
Migratory - Offshore - Shipping (NSW),,#DIV/0!,#DIV/0!
Alpine,,14.2,6.8
Ararat,,11.3,4.9
Ballarat,,11.3,6.9
Banyule,,24.5,21.6
Bass Coast,,15.1,5
Baw Baw,,12,4.8
Bayside (Vic.),,27.1,15.3
Benalla,,9.3,3.5
Boroondara,,32.5,28.6
Brimbank,,48.2,57
Buloke,,6.5,3.2
Campaspe,,7.6,3.9
Cardinia,,23.5,17.6
Casey,,42.1,41.5
Central Goldfields,,9.2,2.9
Colac Otway,,10.3,5.6
Corangamite,,7.3,2.4
Darebin,Excelling,31.4,32.1
East Gippsland,,11.9,3.9
Frankston,,21.4,11.1
Gannawarra,,5.6,2.3
Glen Eira,,37,30.7
Glenelg,,8.8,2.8
Golden Plains,,9.3,2.9
Greater Bendigo,Excelling,9.7,6.3
Greater Dandenong,,58.2,64.1
Greater Geelong,,17.7,11.6
Greater Shepparton,,17.4,17.4
Hepburn,,14,4.7
Hindmarsh,,10.4,7.1
Hobsons Bay,,30.1,26.9
Horsham,,7.1,4.6
Hume,,39.9,48.5
Indigo,,8.6,2.3
Kingston (Vic.),,31.9,25.8
Knox,,33,28.6
Latrobe (Vic.),,12.8,6.5
Loddon,,8.6,3.1
Macedon Ranges,,13.1,4.5
Manningham,Established,43.5,46.1
Mansfield,,11.3,4.1
Maribyrnong,,38,37.9
Maroondah,,25.3,19.6
Melbourne,,54.8,45.9
Melton,,35.7,38.7
Mildura,,13.6,12.1
Mitchell,,14.6,11.2
Moira,,9.9,5.2
Monash,,50.4,51.8
Moonee Valley,,27.8,28
Moorabool,,14.3,7.6
Moreland,,32.9,34.3
Mornington Peninsula,,17.7,5.4
Mount Alexander,,12.5,3.2
Moyne,,7.4,2.1
Murrindindi,,11.2,3.6
Nillumbik,,16.4,9.5
Northern Grampians,,9.2,5.3
Port Phillip,,33.1,20.9
Pyrenees,,9.5,2
Queenscliffe,,10.8,3.5
South Gippsland,,11.5,3.8
Southern Grampians,,7.7,2.9
Stonnington,,31.5,22
Strathbogie,,9.8,3.7
Surf Coast,,11.8,4.1
Swan Hill,,16.7,16.2
Towong,,8.3,2.8
Wangaratta,,9.1,5.1
Warrnambool,,9.6,5.2
Wellington,,11,3.9
West Wimmera,,6.8,2.3
Whitehorse,,41.5,40.3
Whittlesea,,37.6,44.9
Wodonga,,11.4,6.8
Wyndham,,48,49.4
Yarra,,28.7,19.8
Yarra Ranges,,16.8,7.8
Yarriambiack,,6.7,2.8
Unincorporated Vic,,15.2,11
No usual address (Vic.),,15.3,10.6
